enzyme,substrates,products,genes_id
2.5.1.91,"['C00448', 'C00129']","['C00013', 'C17432']","['23590', '57107']"
2.6.1.1,"['C00049', 'C00026']","['C00036', 'C00025']","['137362', '2805', '2806']"
2.6.1.13,"['C00077', 'C00161']","['C01165', 'C00151']",['4942']
2.6.1.16,"['C00064', 'C00085']","['C00025', 'C00352']","['2673', '9945']"
2.6.1.19,"['C00334', 'C00026']","['C00232', 'C00025']",['18']
2.6.1.2,"['C00041', 'C00026']","['C00022', 'C00025']","['2875', '84706']"
2.6.1.22,"['C03284', 'C00026']","['C00349', 'C00025']",['18']
2.6.1.39,"['C00956', 'C00026']","['C00322', 'C00025']",['51166']
2.6.1.40,"['C01205', 'C00022']","['C00349', 'C00041']",['64902']
2.6.1.42,"['C00123', 'C00026']","['C00233', 'C00025']","['586', '587']"
2.6.1.44,"['C00041', 'C00048']","['C00022', 'C00037']","['189', '64902']"
2.6.1.45,"['C00065', 'C00048']","['C00168', 'C00037']",['189']
2.6.1.5,"['C00082', 'C00026']","['C01179', 'C00025']",['6898']
2.6.1.51,"['C00065', 'C00022']","['C00168', 'C00041']",['189']
2.6.1.52,"['C01005', 'C00026', 'C06055']","['C03232', 'C00025', 'C06054']",['29968']
2.6.1.64,"['C00064', 'C00166']","['C00940', 'C00079']","['56267', '883']"
2.6.1.7,"['C00328', 'C00026', 'C01252']","['C01717', 'C00025', 'C00001', 'C01252']","['51166', '56267', '883']"
2.7.1.1,"['C00002', 'C00738']","['C00008', 'C02965']","['3098', '3099', '3101', '80201']"
2.7.1.105,"['C00002', 'C05345']","['C00008', 'C00665']","['5207', '5208', '5209', '5210']"
2.7.1.106,"['C00236', 'C00103']","['C00197', 'C01231']",['283209']
2.7.1.107,"['C00002', 'C00641']","['C00008', 'C00416']","['139189', '1606', '1607', '1608', '160851', '1609', '8525', '8526', '8527', '9162']"
2.7.1.108,"['C00063', 'C00381']","['C00112', 'C00110']",['22845']
2.7.1.11,"['C00002', 'C05345']",['C00008'],"['5211', '5213', '5214']"
2.7.1.113,"['C00002', 'C00330']","['C00008', 'C00362']","['1633', '1716']"
2.7.1.12,"['C00002', 'C00257']","['C00008', 'C00345']",['414328']
2.7.1.127,"['C00002', 'C01245']","['C00008', 'C01272']","['3706', '3707', '80271']"
2.7.1.134,"['C00002', 'C04520']","['C00008', 'C01284']",['3705']
2.7.1.137,"['C00002', 'C01194']","['C00008', 'C04549']",['5289']
2.7.1.138,"['C00002', 'C00195']","['C00008', 'C02960']",['64781']
2.7.1.14,"['C00002', 'C02076']","['C00008', 'C05382']",['23729']
2.7.1.140,"['C00002', 'C04477']","['C00008', 'C01284']",['253430']
2.7.1.147,"['C00008', 'C00031', 'C00329']","['C00020', 'C00092', 'C00352']",['83440']
2.7.1.149,"['C00002', 'C11557']","['C00008', 'C04637']","['5305', '79837', '8396']"
2.7.1.15,"['C00002', 'C00121']","['C00008', 'C00117']",['64080']
2.7.1.150,"['C00002', 'C04549']","['C00008', 'C11556']",['200576']
2.7.1.151,"['C00002', 'C01245', 'C11555']","['C00008', 'C01284', 'C11555']",['253430']
2.7.1.153,"['C00002', 'C04637']","['C00008', 'C05981']","['5290', '5291', '5293', '5294']"
2.7.1.154,"['C00002', 'C01277']","['C00008', 'C11554']","['5286', '5287', '5288']"
2.7.1.157,['C00002'],"['C00008', 'C18060']",['2585']
2.7.1.158,"['C00002', 'C01284']","['C00008', 'C01204']",['64768']
2.7.1.159,"['C00002', 'C01243']","['C00008', 'C01272', 'C04477']",['3705']
2.7.1.160,['C00003'],"['C19851', 'C00153']",['83707']
2.7.1.164,"['C00002', 'C06481']",['C00008'],['118672']
2.7.1.165,"['C00002', 'C00258']","['C00008', 'C00631']",['132158']
2.7.1.17,"['C00002', 'C00310']","['C00008', 'C00231']",['9942']
2.7.1.171,['C00002'],['C00008'],['64122']
2.7.1.172,['C00002'],['C00008'],['79672']
2.7.1.173,"['C00002', 'C05841']",['C00008'],"['27231', '54981']"
2.7.1.183,['C00002'],['C00008'],['84197']
2.7.1.2,"['C00002', 'C00031']","['C00008', 'C00092']",['2645']
2.7.1.20,"['C00002', 'C00212']","['C00008', 'C00020']",['132']
2.7.1.21,"['C00002', 'C00214']","['C00008', 'C00364']","['7083', '7084']"
2.7.1.22,['C00002'],"['C00008', 'C00455']","['27231', '54981']"
2.7.1.23,"['C00002', 'C00003']","['C00008', 'C00006']","['133686', '65220']"
2.7.1.24,"['C00002', 'C00882']","['C00008', 'C00010']",['80347']
2.7.1.25,"['C00002', 'C00224']","['C00008', 'C00053']","['9060', '9061']"
2.7.1.26,"['C00002', 'C00255']","['C00008', 'C00061']",['55312']
2.7.1.28,"['C00002', 'C00577']","['C00008', 'C00118']",['26007']
2.7.1.29,"['C00002', 'C00184']","['C00008', 'C00111']",['26007']
2.7.1.3,"['C00002', 'C00095']","['C00008', 'C01094']",['3795']
2.7.1.30,"['C00002', 'C00116']","['C00008', 'C00093']","['256356', '2710', '2712']"
2.7.1.32,"['C00002', 'C00114']","['C00008', 'C00588']","['1119', '1120']"
2.7.1.33,"['C00002', 'C00864']","['C00008', 'C03492']","['53354', '79646', '80025']"
2.7.1.35,"['C00002', 'C00250']","['C00008', 'C00018']",['8566']
2.7.1.36,"['C00002', 'C00418']","['C00008', 'C01107']",['4598']
2.7.1.40,"['C00002', 'C00022']","['C00008', 'C00074']","['5313', '5315']"
2.7.1.47,"['C00002', 'C00309']","['C00008', 'C00199']",['55277']
2.7.1.48,"['C00002', 'C00299', 'C00475']","['C00008', 'C00105', 'C00055']","['54963', '7371', '83549']"
2.7.1.52,"['C00002', 'C01019']","['C00008', 'C02985']",['197258']
2.7.1.59,"['C00002', 'C00140']","['C00008', 'C00357']",['55577']
2.7.1.6,"['C00002', 'C00984']","['C00008', 'C00446']",['2584']
2.7.1.60,"['C00002', 'C00625']","['C00008', 'C00686']",['10020']
2.7.1.67,"['C00002', 'C01194']","['C00008', 'C01277']","['5297', '5298', '55300', '55361']"
2.7.1.68,"['C00002', 'C01277']","['C00008', 'C04637']","['138429', '23396', '8394', '8395']"
2.7.1.74,"['C00201', 'C00881']","['C00454', 'C00239']",['1633']
2.7.1.76,"['C00002', 'C00559']","['C00008', 'C00360']",['1633']
2.7.1.78,"['C00002', 'C02374']","['C00008', 'C02128']","['10978', '11284']"
2.7.1.81,"['C00044', 'C16741']","['C00035', 'C03366']",['123688']
2.7.1.82,"['C00002', 'C00189']","['C00008', 'C00346']","['1119', '1120', '55224', '55500']"
2.7.1.91,['C00002'],['C00008'],"['56848', '8877']"
2.7.1.94,"['C00002', 'C15590']","['C00008', 'C03849']",['55750']
2.7.10.1,"['C00002', 'C00585']","['C00008', 'C01167']","['10461', '114783', '1436', '1956', '1969', '2041', '2042', '2043', '2044', '2045', '2046', '2047', '2048', '2049', '2050', '2051', '2064', '2065', '2066', '2260', '2261', '2263', '2264', '22853', '2321', '2322', '2324', '238', '284656', '285220', '3480', '3643', '3645', '3791', '3815', '4058', '4233', '4486', '4593', '4914', '4915', '4916', '4919', '4920', '4921', '5156', '5159', '558', '5754', '5979', '6098', '6259', '7010', '7075', '7301', '780', '9625']"
2.7.10.2,"['C00002', 'C00585']","['C00008', 'C01167']","['10188', '1445', '157285', '2185', '2241', '2242', '2268', '2444', '25', '2534', '27', '3055', '3702', '3716', '3717', '3718', '3932', '4067', '4145', '55359', '5747', '5753', '640', '660', '6714', '6725', '6850', '695', '7006', '7294', '7297', '7525', '7535', '79834', '8711', '91461']"
2.7.11.1,"['C00002', 'C00017']","['C00008', 'C00562']","['10000', '100130827', '100526835', '100533105', '10110', '10114', '10188', '102724428', '102800317', '10290', '10298', '10494', '10595', '106821730', '11011', '11035', '11040', '1111', '11113', '11183', '11184', '11200', '11213', '112858', '11329', '120892', '122011', '124923', '127933', '138474', '140469', '140803', '140901', '1452', '1453', '1454', '1455', '1456', '1457', '1459', '147746', '149420', '150094', '152110', '1612', '1613', '166614', '167359', '1760', '197259', '2011', '202374', '203447', '204851', '207', '208', '2081', '22848', '22983', '23012', '23031', '23043', '23049', '23139', '23178', '23235', '23387', '23604', '23617', '23678', '2475', '255239', '2580', '25989', '26524', '26576', '27102', '27148', '27330', '27347', '282974', '283106', '283455', '283629', '284086', '2872', '28996', '30811', '30849', '341676', '3611', '3654', '3656', '369', '375449', '388228', '3984', '3985', '4139', '4140', '415116', '4261', '4342', '440275', '472', '4750', '4751', '4752', '494551', '50488', '5058', '5062', '5063', '51086', '51135', '51231', '51347', '5170', '51765', '5292', '53904', '53944', '54101', '545', '54822', '54861', '54986', '55351', '55561', '55589', '55781', '5591', '5610', '56164', '5681', '56924', '56975', '57144', '57551', '57787', '5871', '5894', '6093', '613', '6195', '6196', '6197', '6198', '6199', '6446', '646643', '65018', '65125', '65266', '65267', '65268', '65975', '673', '6732', '6733', '6787', '6790', '6793', '6794', '6795', '6872', '699', '701', '7204', '7273', '7443', '7444', '7465', '7867', '79705', '79858', '81629', '81788', '8317', '83732', '83903', '83931', '83942', '83983', '84033', '8408', '8428', '84446', '8476', '8491', '84930', '85443', '85481', '8550', '8569', '8573', '8576', '8737', '8767', '8780', '8859', '8899', '8986', '8997', '9024', '9088', '9113', '91754', '9201', '9212', '9252', '9261', '9262', '9263', '9344', '9448', '9451', '9475', '9578', '9706', '9730', '9748', '9833', '9874', '9891', '9943']"
2.7.11.10,['C00002'],['C00008'],"['1147', '29110', '3551', '9641']"
2.7.11.11,['C00002'],['C00008'],"['5562', '5563', '5566', '5567', '5568', '5613']"
2.7.11.12,"['C00002', 'C00017']","['C00008', 'C00562']","['5592', '5593']"
2.7.11.13,"['C00002', 'C00017']","['C00008', 'C00562']","['23683', '25865', '29941', '5578', '5579', '5580', '5581', '5582', '5583', '5584', '5585', '5586', '5587', '5588', '5590']"
2.7.11.14,"['C00002', 'C00778']","['C00008', 'C02456']","['131890', '6011']"
2.7.11.15,"['C00002', 'C01141']","['C00008', 'C04141']","['156', '157']"
2.7.11.16,['C00002'],['C00008'],"['2868', '2869', '2870']"
2.7.11.17,"['C00002', 'C00017']","['C00008', 'C00562']","['10645', '139728', '57118', '57172', '814', '815', '816', '817', '818', '84254', '8536']"
2.7.11.18,"['C00002', 'C01003']","['C00008', 'C03875']","['340156', '4638', '85366', '91807']"
2.7.11.19,"['C00002', 'C02308']","['C00008', 'C02307']","['5260', '5261']"
2.7.11.2,"['C00002', 'C01256']","['C00008', 'C01293']","['5163', '5164', '5165', '5166']"
2.7.11.20,['C00002'],['C00008'],['29904']
2.7.11.21,"['C00002', 'C00017']","['C00008', 'C00562']","['10733', '10769', '1263', '5347']"
2.7.11.22,"['C00002', 'C00017']","['C00008', 'C00562']","['1017', '1018', '1019', '1020', '1021', '1022', '1024', '1025', '22858', '23097', '23552', '344387', '4117', '51265', '5127', '5128', '5129', '51755', '5218', '5891', '65061', '6792', '728642', '8558', '8621', '8814', '8999', '983', '984']"
2.7.11.23,"['C00002', 'C03959']","['C00008', 'C04395']","['1022', '1024', '1025', '23097', '51755', '8621', '983']"
2.7.11.24,"['C00002', 'C00017']","['C00008', 'C00562']","['1432', '225689', '51701', '5594', '5595', '5596', '5597', '5598', '5599', '5600', '5601', '5602', '5603', '6300']"
2.7.11.25,"['C00002', 'C00017']","['C00008', 'C00562']","['10746', '1326', '389840', '4214', '4215', '4216', '4217', '4293', '4294', '4296', '51776', '6885', '7786', '80122', '84451', '9020', '9064', '9175']"
2.7.11.26,"['C00002', 'C01867']","['C00008', 'C03157']","['146057', '2931', '2932', '84630']"
2.7.11.30,['C00002'],['C00008'],"['130399', '269', '657', '658', '659', '7046', '7048', '90', '91', '92', '93', '94']"
2.7.11.34,['C00002'],['C00008'],"['10783', '140609']"
2.7.11.4,['C00002'],['C00008'],['10295']
2.7.11.8,['C00002'],['C00008'],['10922']
2.7.12.1,"['C00002', 'C00017']","['C00008', 'C00562']","['10420', '1195', '1196', '1198', '1859', '25778', '57396', '7016', '7272', '8444', '8445', '8798', '9149']"
2.7.12.2,"['C00002', 'C00017']","['C00008', 'C00562']","['55872', '5604', '5605', '5606', '5607', '5608', '5609', '6416']"
2.7.2.11,"['C00002', 'C00025']","['C00008', 'C03287']",['5832']
2.7.2.3,"['C00002', 'C00197']","['C00008', 'C00236']","['5230', '5232']"
2.7.3.2,"['C00002', 'C00300']","['C00008', 'C02305']","['1152', '1158', '1159', '1160', '548596']"
2.7.4.10,"['C00201', 'C00020']","['C00454', 'C00008']",['50808']
2.7.4.14,"['C00002', 'C00239', 'C00105']","['C00008', 'C00705', 'C00015']","['129607', '51727']"
2.7.4.2,"['C00002', 'C01107']","['C00008', 'C01143']",['10654']
2.7.4.21,"['C00002', 'C01204', 'C11174']","['C00008', 'C11526', 'C20690']","['117283', '51447', '9807']"
2.7.4.24,"['C00002', 'C11526', 'C01204']","['C00008', 'C20690', 'C11174']","['23262', '9677']"
2.7.4.3,"['C00002', 'C00020']",['C00008'],"['102157402', '122481', '158067', '203', '204', '205', '221264', '26289']"
2.7.4.6,"['C00002', 'C00454']","['C00008', 'C00201']","['10201', '221264', '29922', '4830', '4831', '4832', '4833', '654364']"
2.7.4.8,"['C00002', 'C00144']","['C00008', 'C00035']",['2987']
2.7.4.9,"['C00002', 'C00364']","['C00008', 'C00363']",['1841']
2.7.6.1,"['C00002', 'C00117']","['C00020', 'C00119']","['221823', '5631', '5634']"
2.7.6.2,"['C00002', 'C00378']","['C00020', 'C00068']",['27010']
2.7.7.1,"['C00002', 'C00455']","['C00013', 'C00003']","['23057', '349565', '64802']"
2.7.7.102,"['C00201', 'C06604']",[],"['201973', '5557']"
2.7.7.108,"['C00002', 'C02189', 'C19803', 'C00585']",['C00013'],"['11153', '83642']"
2.7.7.12,"['C00029', 'C00446']","['C00103', 'C00052']",['2592']
2.7.7.13,"['C00044', 'C00636']","['C00013', 'C00096']","['29925', '29926']"
2.7.7.14,"['C00063', 'C00346']","['C00013', 'C00570']",['5833']
2.7.7.15,"['C00063', 'C00588']","['C00013', 'C00307']","['5130', '9468']"
2.7.7.18,"['C00002', 'C01185']","['C00013', 'C00857']","['23057', '349565', '64802']"
2.7.7.19,"['C00002', 'C00046']","['C00013', 'C00046']","['10914', '11044', '167153', '169966', '54855', '55149', '56903', '64282', '64852', '64895']"
2.7.7.2,"['C00002', 'C00061']","['C00013', 'C00016']",['80308']
2.7.7.23,"['C00075', 'C04501']","['C00013', 'C00043']","['6675', '91373']"
2.7.7.3,"['C00002', 'C01134']","['C00013', 'C00882']",['80347']
2.7.7.30,"['C00044', 'C02985']","['C00013', 'C00325']",['8790']
2.7.7.31,"['C00677', 'C00039']","['C00013', 'C00039']",['1791']
2.7.7.4,"['C00002', 'C00059']","['C00013', 'C00224']","['9060', '9061']"
2.7.7.40,"['C00063', 'C01068']","['C00013', 'C00789']",['729920']
2.7.7.41,"['C00063', 'C00416']","['C00013', 'C00269']","['1040', '8760']"
2.7.7.43,"['C00063', 'C00591']","['C00013', 'C01064']",['55907']
2.7.7.49,"['C00677', 'C00039']","['C00013', 'C00039']",['7015']
2.7.7.50,"['C00044', 'C02100']","['C00013', 'C02031']",['8732']
2.7.7.52,"['C00075', 'C00046']","['C00013', 'C00046']","['23318', '64852', '79670']"
2.7.7.6,"['C00201', 'C00046']","['C00013', 'C00046']","['11128', '25885', '5430', '5431', '5442', '55703', '84172']"
2.7.7.7,"['C00677', 'C00039']","['C00013', 'C00039']","['10514', '10721', '11201', '201973', '27343', '27434', '353497', '51426', '54107', '5422', '5423', '5424', '5426', '5427', '5428', '5429', '56655', '5980']"
2.7.7.72,"['C02211', 'C00063', 'C00002', 'C19078', 'C19080']","['C19085', 'C00013', 'C19080']",['51095']
2.7.7.75,"['C00002', 'C05924']","['C00013', 'C19848']",['10243']
2.7.7.78,"['C00394', 'C00009']","['C00103', 'C00035']",['390637']
2.7.7.79,"['C00002', 'C00044', 'C00001']","['C00020', 'C00013']",['54974']
2.7.7.8,"['C00046', 'C00009']","['C00046', 'C00454']",['87178']
2.7.7.80,['C00002'],['C00013'],['27304']
2.7.7.83,"['C00075', 'C18060']","['C00013', 'C00203']","['6675', '91373']"
2.7.7.84,['C00002'],"['C20936', 'C00013']","['4938', '4939', '4940']"
2.7.7.86,"['C00002', 'C00044']","['C00013', 'C20640']",['115004']
2.7.7.87,"['C00188', 'C00002', 'C00288']","['C20641', 'C00013', 'C00001']",['79693']
2.7.7.9,"['C00075', 'C00103']","['C00013', 'C00029']",['7360']
2.7.7.92,"['C00063', 'C20934']","['C00013', 'C21384']",['55907']
2.7.7.96,"['C00002', 'C00117']","['C00013', 'C00301']",['11164']
2.7.8.1,"['C00570', 'C00641']","['C00055', 'C00350']","['10390', '85465']"
2.7.8.11,"['C00269', 'C00137']","['C00055', 'C01194']",['10423']
2.7.8.15,"['C00043', 'C00110']",['C00105'],['1798']
2.7.8.17,"['C00043', 'C03706']","['C00105', 'C04789']",['79158']
2.7.8.2,"['C00307', 'C00641']","['C00055', 'C00157']","['10390', '56994']"
2.7.8.27,"['C00195', 'C00157']","['C00550', 'C00641']","['166929', '259230']"
2.7.8.29,"['C00350', 'C00065']","['C02737', 'C00189']",['81490']
2.7.8.41,"['C00269', 'C00344']","['C05980', 'C00055']",['54675']
2.7.8.5,"['C00269', 'C00093']","['C00055', 'C03892']",['9489']
2.7.9.3,"['C00002', 'C01528', 'C00001']","['C00020', 'C05172', 'C00009']","['22928', '22929']"
2.8.1.1,"['C00320', 'C00177']","['C00094', 'C01755']","['4357', '7263']"
2.8.1.11,"['C15813', 'C15812', 'C00030']","['C00020', 'C15814', 'C15811', 'C00028']",['27304']
2.8.1.12,"['C18239', 'C15814', 'C00001']","['C05924', 'C15810']",['4338']
2.8.1.14,"['C21440', 'C00002', 'C00030']","['C02743', 'C00020', 'C00013', 'C00028']",['55687']
2.8.1.2,"['C00957', 'C00342']","['C00022', 'C00283', 'C00343']","['4357', '7263']"
2.8.1.7,"['C00097', 'C02743', 'C15811', 'C15812']","['C00041', 'C21440', 'C15812', 'C15811']",['9054']
2.8.1.8,"['C16236', 'C22154', 'C00019', 'C22151', 'C00080']","['C16832', 'C22155', 'C00283', 'C14819', 'C00073', 'C05198', 'C22150']",['11019']
2.8.1.9,"['C18237', 'C00097', 'C00030', 'C00080']","['C21486', 'C00041', 'C00001']",['55034']
2.8.2.1,"['C00053', 'C15584']","['C00054', 'C00850']","['445329', '6799', '6817', '6818']"
2.8.2.11,"['C00053', 'C02686']","['C00054', 'C06125']",['9514']
2.8.2.14,"['C00053', 'C15557', 'C02592']","['C00054', 'C11301', 'C03642']",['6822']
2.8.2.17,"['C00053', 'C00401']","['C00054', 'C00635']","['56548', '9469']"
2.8.2.2,"['C00053', 'C00069']","['C00054', 'C02000']",['6820']
2.8.2.20,"['C00053', 'C00585']","['C00054', 'C03721']","['8459', '8460']"
2.8.2.21,"['C00053', 'C00573']","['C00054', 'C00573']",['8534']
2.8.2.23,"['C00053', 'C22549']","['C00054', 'C11553']","['222537', '9957']"
2.8.2.29,"['C00053', 'C22549']","['C00054', 'C11553']",['9956']
2.8.2.30,"['C00053', 'C22549']","['C00054', 'C11553']","['9953', '9955']"
2.8.2.33,['C00053'],['C00054'],['51363']
2.8.2.35,['C00053'],['C00054'],['113189']
2.8.2.4,"['C00053', 'C00468']","['C00054', 'C02538']",['6783']
2.8.2.5,"['C00053', 'C00401']","['C00054', 'C00634']","['166012', '50515', '55501']"
2.8.2.8,"['C00053', 'C17141']","['C00054', 'C17142']","['3340', '64579', '8509', '9348']"
2.8.3.13,"['C00091', 'C03761']","['C00042', 'C00356']",['79783']
2.8.3.5,"['C00091', 'C01656']","['C00042', 'C00264']","['5019', '64064']"
2.8.4.5,['C00019'],"['C00021', 'C00073', 'C05198']",['54901']
2.9.1.2,"['C05172', 'C00001']","['C06482', 'C00009']",['51091']
3.1.1.1,"['C02391', 'C00001']","['C00069', 'C00060']","['1066', '221223', '23491', '8824']"
3.1.1.106,"['C22131', 'C00001']","['C00301', 'C00033']","['140733', '28992']"
3.1.1.111,"['C02737', 'C00001', 'C18125']","['C05974', 'C00162', 'C22237']",['51365']
3.1.1.112,"['C12296', 'C00001']","['C07328', 'C00033']",['285148']
3.1.1.116,"['C00641', 'C00001']","['C02112', 'C00162']","['221955', '747']"
3.1.1.118,"['C01194', 'C00001', 'C00416']","['C22400', 'C00162', 'C03974']",['80821']
3.1.1.13,"['C01958', 'C00001']","['C00370', 'C00162']","['1056', '3988']"
3.1.1.17,"['C00198', 'C00001']",['C00257'],['9104']
3.1.1.2,"['C15583', 'C00001']","['C15584', 'C00033']","['5444', '5445', '5446']"
3.1.1.29,"['C03880', 'C00001']","['C03523', 'C00066']","['138428', '3396', '391356', '51651']"
3.1.1.3,"['C00422', 'C00001']","['C00165', 'C00060']","['1056', '119548', '13', '3990', '5406', '5407', '5408', '57104', '80339', '8513', '9388']"
3.1.1.31,"['C01236', 'C00001']",['C00345'],"['25796', '9563']"
3.1.1.32,"['C00157', 'C00001']",['C00060'],"['11145', '54979']"
3.1.1.34,"['C00422', 'C00001']","['C00165', 'C00060']",['4023']
3.1.1.4,"['C00157', 'C00001']","['C04230', 'C00060']","['100137049', '11145', '123745', '151056', '255189', '26279', '283748', '30814', '391013', '50487', '5319', '5320', '5321', '5322', '54979', '64600', '81579', '8398', '8399', '84647', '8605', '8681']"
3.1.1.45,"['C04431', 'C00001']",['C02222'],['134147']
3.1.1.47,['C00001'],"['C04317', 'C00033']","['374569', '5049', '5050', '5051', '7941']"
3.1.1.5,"['C04230', 'C00001']","['C00670', 'C00060']","['10434', '10908', '11313', '1178', '151056', '23659', '374569', '375775']"
3.1.1.53,"['C03708', 'C00001']","['C00270', 'C00033']",['54414']
3.1.1.56,"['C03837', 'C00001']","['C03081', 'C00033']",['8824']
3.1.1.64,"['C02075', 'C00001']","['C00899', 'C00162']",['6121']
3.1.1.7,"['C01996', 'C00001']","['C00114', 'C00033']",['43']
3.1.1.77,"['C11547', 'C00001']","['C11548', 'C00162']",['313']
3.1.1.79,"['C00165', 'C00001', 'C00422', 'C01885']","['C01885', 'C00060', 'C00165', 'C00116']",['3991']
3.1.1.8,"['C01777', 'C00001']","['C00114', 'C00060']",['590']
3.1.1.84,"['C01416', 'C00001']","['C12448', 'C00180']",['8824']
3.1.1.89,['C00001'],['C00132'],['51400']
3.1.1.93,"['C20383', 'C00001']","['C20380', 'C00191']",['55347']
3.1.1.96,['C00001'],"['C00405', 'C00066', 'C00037', 'C01635']","['112487', '92675']"
3.1.1.97,"['C21151', 'C00001']","['C01573', 'C00132']",['92715']
3.1.1.98,"['C21171', 'C00001']","['C21172', 'C08362']",['147111']
3.1.2.1,"['C00024', 'C00001']","['C00010', 'C00033']",['134526']
3.1.2.12,"['C01031', 'C00001']","['C00051', 'C00058']",['2098']
3.1.2.2,"['C00154', 'C00001']","['C00010', 'C00249']","['10965', '11332', '117145', '122970', '284486', '570', '641371']"
3.1.2.21,"['C05223', 'C00001']","['C00229', 'C02679']",['55301']
3.1.2.22,['C00001'],"['C00249', 'C00017']","['51104', '5538', '58489', '81926', '9374']"
3.1.2.27,"['C01794', 'C00001']","['C00695', 'C00010']",['10005']
3.1.2.4,"['C04047', 'C00001']","['C00010', 'C01188']",['26275']
3.1.2.6,"['C03899', 'C00001']","['C00051', 'C02929']",['3029']
3.1.3.1,"['C01153', 'C00001']","['C00069', 'C00009']","['248', '249', '250', '251']"
3.1.3.108,"['C00005', 'C00001', 'C00006']","['C00004', 'C00009', 'C00003']",['25819']
3.1.3.11,"['C00354', 'C00001']","['C00085', 'C00009']","['2203', '8789']"
3.1.3.16,['C00001'],['C00009'],"['10106', '10217', '1033', '11072', '11221', '11266', '114971', '128853', '132160', '134510', '142679', '147699', '150290', '151742', '152926', '160760', '1843', '1844', '1845', '1846', '1847', '1848', '1849', '1850', '1852', '192111', '22843', '23035', '23239', '23399', '285193', '29101', '333926', '338599', '51207', '54434', '5470', '5475', '54935', '5494', '5495', '5496', '54961', '5499', '5500', '5501', '5515', '5516', '5530', '5531', '55313', '5532', '5533', '5536', '5537', '56940', '5728', '57460', '58190', '63904', '78986', '7957', '79871', '80824', '80895', '8446', '8493', '85464', '8555', '8556', '9150', '92235', '9647']"
3.1.3.18,"['C00988', 'C00001']","['C00160', 'C00009']",['283871']
3.1.3.2,"['C01153', 'C00001']","['C00069', 'C00009']","['51205', '52', '53', '54', '55', '93650']"
3.1.3.25,"['C15585', 'C00001']","['C00137', 'C00009']","['3612', '3613']"
3.1.3.29,"['C01200', 'C00001']","['C00591', 'C00009']",['140838']
3.1.3.3,"['C01005', 'C02532', 'C00001']","['C00065', 'C00740', 'C00009']",['5723']
3.1.3.32,"['C03463', 'C00001']","['C00419', 'C00009']",['11284']
3.1.3.36,"['C04637', 'C00001']","['C01277', 'C00009']","['3633', '4952', '56623', '8867', '8871']"
3.1.3.4,['C00001'],"['C00641', 'C00009']","['196051', '23175', '64900', '84513', '8611', '8612', '8613', '9663']"
3.1.3.43,"['C01293', 'C00001']","['C01256', 'C00009']","['54704', '57546']"
3.1.3.46,"['C00665', 'C00001']","['C00085', 'C00009']","['5207', '5208', '5209', '5210', '57103']"
3.1.3.48,"['C01167', 'C00001']","['C00585', 'C00009']","['100528064', '10076', '1033', '11072', '11099', '11122', '11156', '11221', '11266', '114971', '128853', '142679', '145553', '150290', '1843', '1844', '1845', '1846', '1847', '1848', '1849', '1850', '1852', '2070', '2138', '2139', '2140', '25930', '26095', '26191', '26469', '283871', '285193', '338599', '374462', '51207', '52', '53347', '54434', '54935', '54961', '56940', '5728', '5770', '5771', '5774', '5775', '5777', '5778', '5780', '5781', '5782', '5784', '5786', '5787', '5788', '5789', '5791', '5792', '5793', '5794', '5795', '5796', '5797', '5798', '5799', '5800', '5801', '5802', '5803', '63904', '7803', '78986', '7957', '8073', '80824', '8446', '84867', '84959', '85464', '8555', '8556', '8897', '9110', '92235', '993', '994', '995']"
3.1.3.5,"['C02520', 'C00001']","['C00911', 'C00009']","['100526794', '22978', '284958', '30833', '4907', '55', '56953', '84618', '93034']"
3.1.3.56,"['C01245', 'C00001', 'C01272']","['C01220', 'C00009', 'C01243']","['27124', '3632', '51763']"
3.1.3.57,"['C01220', 'C00001']","['C03546', 'C00009']",['3628']
3.1.3.62,"['C01204', 'C00001']","['C15991', 'C00009']",['9562']
3.1.3.64,"['C04549', 'C00001']","['C01194', 'C00009']","['4534', '55613', '64419', '8776', '8897', '8898', '9107', '9108', '9110']"
3.1.3.66,['C00001'],"['C04549', 'C00009']","['3631', '8821']"
3.1.3.67,"['C05981', 'C00001']","['C04637', 'C00009']",['5728']
3.1.3.7,"['C00054', 'C00001']","['C00020', 'C00009']","['10380', '54928']"
3.1.3.74,"['C00018', 'C00001']","['C00250', 'C00009']","['493911', '57026']"
3.1.3.75,"['C00346', 'C00001', 'C00588']","['C00189', 'C00009', 'C00114']",['162466']
3.1.3.76,['C00001'],"['C15988', 'C00009']",['2053']
3.1.3.77,"['C15650', 'C00001', 'C15651']","['C15606', 'C00009', 'C15651']",['58478']
3.1.3.78,"['C04637', 'C00001']","['C11557', 'C00009']","['55529', '90809']"
3.1.3.80,"['C01159', 'C00001']","['C00631', 'C00009']",['9562']
3.1.3.86,"['C05981', 'C00001']","['C11554', 'C00009']","['3635', '3636']"
3.1.3.89,"['C00676', 'C00001']","['C02269', 'C00009']",['51020']
3.1.3.9,"['C00092', 'C00001']","['C00031', 'C00009']","['2538', '57818', '92579']"
3.1.3.91,"['C03998', 'C00001', 'C00055']","['C00009', 'C00475']","['115024', '51251']"
3.1.3.95,"['C11556', 'C00001']","['C11557', 'C00009']","['4534', '55613', '64419', '8776', '8897', '8898', '9107', '9108', '9110']"
