enzyme,substrates,products,genes_id
1.10.5.1,"['C15497', 'C15602']","['C03150', 'C15603']",['4835']
1.11.1.12,['C00051'],"['C00127', 'C00001']",['2879']
1.11.1.20,"['C00342', 'C00427']","['C00343', 'C00639']",['127281']
1.11.1.24,"['C00342', 'C15498']","['C00343', 'C00001', 'C01335']","['10549', '10935', '25824', '5052', '7001']"
1.11.1.25,"['C07292', 'C15498']","['C07293', 'C00001', 'C01335']",['10935']
1.11.1.27,"['C00051', 'C15498']","['C00127', 'C00001', 'C01335']",['9588']
1.11.1.6,['C00027'],"['C00007', 'C00001']",['847']
1.11.1.7,['C00027'],['C00001'],"['137902', '4025', '7837', '8288', '9588']"
1.11.1.8,"['C00708', 'C00027', 'C00080', 'C16733', 'C16732', 'C16731']","['C01382', 'C00001', 'C16732', 'C16731', 'C16729', 'C16734', 'C16730']",['7173']
1.11.1.9,"['C00051', 'C00027']","['C00127', 'C00001']","['257202', '2876', '2877', '2878', '2880', '2882', '493869']"
1.11.2.2,"['C00698', 'C00027', 'C00080']","['C19697', 'C00001']",['4353']
1.13.11.11,"['C00078', 'C00007']",['C02700'],['6999']
1.13.11.18,"['C17267', 'C00007', 'C00001', 'C21787']","['C00051', 'C00094', 'C00080', 'C21787']",['23474']
1.13.11.19,"['C01678', 'C00007']",['C00519'],['84890']
1.13.11.20,"['C00097', 'C00007']",['C00606'],['1036']
1.13.11.24,"['C00389', 'C00007']","['C04524', 'C00237', 'C00080']",['8544']
1.13.11.27,"['C01179', 'C00007']","['C00544', 'C00011']",['3242']
1.13.11.31,"['C00219', 'C00007']",['C05965'],['239']
1.13.11.33,"['C00219', 'C00007']",['C05966'],"['246', '247']"
1.13.11.34,"['C00219', 'C00007', 'C05356']","['C00909', 'C00001', 'C05356']",['240']
1.13.11.5,"['C00544', 'C00007']",['C01036'],['3081']
1.13.11.52,"['C00525', 'C00007', 'C00078']","['C15605', 'C02700']","['169355', '3620']"
1.13.11.53,"['C15606', 'C00007']","['C08276', 'C00058', 'C00237']",['55256']
1.13.11.54,"['C15606', 'C00007']","['C01180', 'C00058']",['55256']
1.13.11.6,"['C00632', 'C00007']",['C04409'],['23498']
1.13.11.63,"['C02094', 'C00007']",['C00376'],['53630']
1.13.11.71,"['C02094', 'C00007']","['C20695', 'C12287']",['83875']
1.13.99.1,"['C00137', 'C00007']","['C00191', 'C00001']",['55586']
1.14.11.1,"['C01181', 'C00026', 'C00007']","['C00487', 'C00042', 'C00011']",['8424']
1.14.11.16,"['C00026', 'C00007']","['C00042', 'C00011']",['444']
1.14.11.18,"['C02060', 'C00026', 'C00007']","['C07343', 'C00042', 'C00011']",['5264']
1.14.11.2,"['C01078', 'C00026', 'C00007']","['C04398', 'C00042', 'C00011']","['283208', '5033', '8974']"
