	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
CHMP4BP1	0.016740504737987102	0.035322563481769195	0.022960303349093766	0.01972239940737983	0.021746024392627378	0.01812292304444357	0.020957554378086624	0.00419386015101703	0.012145534552845144	0.019640225833883865	0.008950249210174238	0.007051408285023238	0.008575200679891367	0.0057500971612644254	0.006466105487796107	0.017392528536003496	0.013555078352097037	0.0039034421393020864	0.015707472151313715	0.022024113563923992	0.00032827938383863064	0.017861496737300392	0.009838203147920378	0.02620554855419876	0.016930372173339245	0.021491967936802938	0.007898341308493385	0.002383874651190879	0.026077766600109995	0.0018883219094805754	0.019667804953469398	0.018825695431225635	0.010194529066618671	0.004081093925898811	0.03621126741475637	0.0027598702925969963
SSTR1	0.007546046174993097	0.021723248046251708	0.017065201667886522	0.021797264896949164	0.020575315973175804	0.006178368794782914	0.017877988479969353	0.0031463901170813344	0.01145271560842559	0.005365978100010338	0.014020283257093653	0.003719298382332802	0.018174981860544583	0.010227390004686034	0.03333821158167206	0.024735413605310133	0.00158030837375525	0.0033168668889056365	0.013956398813168435	0.005766010859488453	0.008312693418652184	0.0025598551611156145	0.021796774728758475	0.017818949717778938	0.015425476511696425	0.019486610737913274	0.009988350467275501	0.023742565227900962	0.012905068559254737	0.02113085131850063	0.03346826771979767	0.019749430357664393	0.01681760947821567	0.0017850756308201237	0.024746977483200535	0.004685739305642109
MEGF6	0.02604235973393066	0.020712043244277573	0.0027300608078336393	0.002898636757246531	0.010560507543951528	0.02562795487592817	0.008063723752175714	0.0007357311053345661	0.033581114636350204	0.020209177619010844	0.015520977586046774	0.014129616484843389	0.01692015072582433	0.0045485801296918284	0.02629776177811612	0.017295736314675018	0.020363654298508116	0.008256495702339262	0.019780358427452124	0.002199340333628604	0.010658337931477984	0.009866910159956005	0.018158776647233515	0.007857895050502965	0.01781155689641415	0.005248779123195523	0.027215895649533764	0.014783200414540005	0.015494537003673687	0.021961961948888203	0.012465726709590362	0.022381796289804592	0.012167836649711841	0.0030163945848505013	0.018630885150240813	0.006125438714116238
CDK11A	0.012171361586992795	0.01901985087704338	0.015569345092926928	0.01571956975387996	0.02507757381566141	0.03013467277901017	0.011037312270760316	0.016329094113019256	0.0131911459578929	0.020265855450147776	0.026173875643073913	0.014634155392319817	0.02153210139562919	0.019068291333966435	0.002376562444518865	0.008249648013974408	0.011621119138883765	0.01206807555656945	0.02942652003712054	0.0183946463625277	0.0185242347085736	0.0038112301963212063	0.0104931111766217	0.022325675079307706	0.03081043968470711	0.022290945673570414	0.017711590909315518	0.016184213904116392	0.022103093383709513	0.02509427160190147	0.014588157132397342	0.014287176607890749	0.002972227121370785	0.011089366352387678	0.0004015171626634495	0.02700147430560134
KANSL3	0.002522009321443535	0.026496714245597512	0.010606042354303607	0.010934178437094452	0.006786016328595732	0.025925133884343733	0.014816625108847152	0.018611632176546374	0.020254293439359722	0.012825912603357888	0.009494079550558017	0.01610643002893052	0.018701924126946354	0.012159243098173237	0.01962167853399353	0.0172542098269751	0.022564849608760505	0.01482074139203607	0.015170901198147959	0.015794660745041936	0.0007481702455453951	0.006247365635886382	0.01883386429004878	0.008920612168903951	0.01900752366008427	0.014130453452140024	0.02581368897382259	0.013467276683640778	0.016462379411957634	0.016600258854162584	0.0029500083513454367	0.02196961445146964	0.02318991339538757	0.005614359670279995	0.01540985261319156	0.008258102971494463
PTP4A1	0.017580287136786422	0.004262181310356223	0.012845438874072359	0.0015775631309379512	0.003443718280835003	0.020508021715732155	0.022546493419790998	0.019530748012659936	0.029570589767340064	0.019016301728609263	0.014449976501880792	0.01794924774395871	0.022961040210713386	0.005808106023090319	0.021007957522523515	0.015665018526137338	0.008997609835266325	0.008644157847462967	0.006545047950058012	0.020037715970389374	0.016146704361638578	0.021232353326103053	0.015225104120998844	0.008562355318771316	0.01569838669439269	0.014360580810379331	0.017837872984947562	0.019314061113835594	0.023913299210281867	0.007057311328652772	0.009707990672902808	0.004619457342979655	0.0043373308710722095	0.000618699838052052	0.02398638903386109	0.022530083859214994
CENPL	0.010271274208928068	0.012251989312269474	0.00930083441148838	0.0015265933716961258	0.0221472025510288	0.024872220239652014	0.016710174449742085	0.013918601390183909	0.019730539394871155	0.02490357474217293	0.005373387113378711	0.012455533291577857	0.009978935948359913	0.025201053964040133	0.026823936690792406	0.008943191862604753	0.005187969507662603	0.012991709717774544	0.025584473788449216	0.00864489813527019	0.009689229347215953	0.027473817273600924	0.0025364734696178325	0.01847712894749059	0.008015353872988037	0.004885876971263449	0.009368135911691724	0.018372531912240263	0.01885080485273727	0.022752973416328696	0.017413449851548097	0.003551836091053404	0.015890939588855867	0.0016700862386267417	0.029732152560500862	0.018379372334406962
CCDC160	0.015633368980210123	0.011420275377247888	0.031669753874555416	0.009974869740532268	0.006681066107892323	0.04899431909575916	0.0026646356435921547	0.009391528032543619	0.003520267652549047	0.00967612018108056	0.010998492513839008	0.0003103623462800495	0.008407476366437678	0.011468756277453031	0.024197027157110407	0.01265499716701471	0.00022804552455662854	0.012901213738216542	0.005548272266074789	0.022417597463575693	0.017425446175625324	0.01288568326306993	0.019308696923527255	0.029844258874850114	0.015881364691928808	0.0039243162030074665	0.0048171555277133245	0.004469619016221006	0.019364089473692805	0.008469632184469124	0.03644411139913035	0.04007673504745715	0.002724848948820295	0.005054409241732184	0.014001441012731842	4.367459704733139e-05
TIMM13	0.007383352556033268	0.015286050665552747	0.009895889054773687	0.013669250709993714	0.008886339881362152	0.010392090438409194	0.013259206081033576	0.013817791699010167	0.017316298736910374	0.013284320024720034	0.015149565932341754	0.026931117649966623	0.020573867940246703	0.004524691162144076	0.0316939803902405	0.009270017531517252	0.017930124671807605	0.0100666520422663	0.020338112341408653	0.02130949917902921	0.02440146076254883	0.015513945826875434	0.02295183205069264	0.008207114710325689	0.018596936949303342	0.006264174101025626	0.018847435249820063	0.01895185532413896	0.036241343223105016	0.012163707356083629	0.012462106403556291	0.00901775432752546	0.012070555820187921	0.008047235656427518	0.01796705641612485	0.010561465083747515
ATP2B3	0.01894430344951081	0.022477651525328532	0.027134033045554166	0.017430894463623968	0.0032092758572629648	0.020361912250841406	0.0015769486163462459	0.035780448244702064	0.015280474638285715	0.02736678913567051	0.010207474366402848	0.01603993062068285	0.011756236453062684	0.028413730094472615	0.001817797049253825	0.002689783925149559	0.011028907097540834	0.018229690382770978	0.02628270099262963	0.04120725691039276	0.01042064587039388	0.012283855858049973	0.01832286458678603	0.011160279108693025	0.016359589304431748	0.02466557706219202	0.004823052045000605	0.015468542826952132	0.01337276342059831	0.018076893476134677	0.005233079098531454	0.01411576753807821	0.019011561915718365	0.011325734348026532	0.010759395239532343	0.024654875956342002
CALB2	0.01201044091093847	0.007324480792929452	0.007700500030241493	0.013643871320774067	0.018381319806181785	0.04037476915988026	0.01044935449178855	0.011768259482726903	0.0032533479438007834	0.01814652865655403	0.009480869599375214	0.026241201466269366	0.016596855023118424	0.032773110402986465	0.023915070200915718	0.0044438057460394875	0.012660555806035147	0.011600586507055529	0.02584563374795068	0.010766115111106166	0.03387939786905412	0.029755317662830707	0.0160502782612171	0.017778367275940794	0.017720590323072723	0.019224555812097453	0.013539497635422643	0.009905918077208356	0.006725768175954787	0.009215555794740208	0.015325134147760891	0.0159910829833396	0.0106436032652826	0.0065373900917962665	0.017698344793922738	0.020395679547629823
TBPL1	0.01259319802096652	0.020186937463800056	0.01749892803600878	0.012444674768112786	0.006724255367037282	0.028773836799307843	0.01259435183046809	0.014906300818962387	0.013190010091294125	0.012638024562487445	0.016994996293072648	0.008880655634882524	0.007997469233290234	0.01182443178602872	0.023729379694928738	0.007437514186286478	0.01605894811547195	0.01328969318798115	0.02481419140942099	0.012802829386905069	0.005647883186648059	0.004531314260045383	0.01269923300743416	0.021970303565977848	0.017831346023410917	0.011510882214459601	0.009472014610041254	0.018964078099538834	0.02135398820865905	0.018037619820860527	0.026868705309059965	0.029027666285830856	0.029453479630577827	0.005532053490578658	0.0011102671659663692	0.009260710709145284
MARCKSL1	0.014153005266899547	0.03497035704778267	0.013539514826650877	0.019622593458960932	0.0011598123805962501	0.006741688185185175	0.01112613047722181	0.018320053699604252	0.014150225035383778	0.012828390154562457	0.010931108131251534	0.013344973810099562	0.014799740331205392	0.008810069793275794	0.002520525260356848	0.011983154322668969	0.006806201225957214	0.004932342890173225	0.01553520457062805	0.009448771490742308	0.02093897840872822	0.005110138564817083	0.014989560828283057	0.018991616876905815	0.022336348279704266	0.04420070042430714	0.020855231064952854	0.0220680073553138	0.01809823507247256	0.020313991806099392	0.01230917248186696	0.030297267216696445	0.004347351786609661	0.0021089768212939936	0.01975114176649917	0.010812877465459456
SH2B2	0.002892880145765638	0.013874782642974887	0.014563524392695024	0.011993899441567675	0.02441086992697647	0.005202409197369753	0.02778056437211235	0.011377811058393852	0.027477545854046794	0.01944700682449259	0.021726578378143457	0.012609137002453918	0.02665198257107112	0.019133757302360197	0.006637599521800447	0.015019804434251577	0.01767396492931475	0.014839003244821151	0.01986631309380166	0.01860184064905939	0.011688465090981969	0.009895670820940242	0.013455050347910013	0.008469215851550081	0.020859785353733735	0.02386800613568236	0.019467676246698644	0.009034535358746527	0.014604191450648023	0.0012426492160835395	0.001556899090720292	0.030322139033982776	0.03210151181629085	0.00707179747158335	0.025805991025307656	0.007105765772634251
