	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
ATP7A	0.015627749909548815	0.026060070129122165	0.013214314993759411	0.010688384782103044	0.01693341966795986	0.011783982117425752	0.003321946778600727	0.006896013797175885	0.014468924463314235	0.010288402939316434	0.020190216615829985	0.008170012924626878	0.013857860501613221	0.01579249422157118	0.016343309372233036	0.016574998555189995	0.017655919198543063	0.010256890968591337	0.007417339230021167	0.018901508860648293	0.02143057348628161	0.012996143575233628	0.01088927335905247	0.017981191885840853	0.015970024743592416	0.013393718157837646	0.010402811244759173	0.010132377830071412	0.017007475907279666	0.026616988884240595	0.014638140862950602	0.013236036189368564	0.03163288014042774	0.023532675873524346	0.019870725239590905	0.010670614701554374	0.014490429432606835
NPL	0.00937299602528734	0.01535760610004317	0.03096680048967599	0.007951644773038662	0.015005994296831708	0.003327444232618306	0.006371570352943671	0.004369632545416831	0.0030767669971571657	0.0313634708447025	0.005551255886881054	0.010812425319706772	0.014206809778428304	0.0129739749544164	0.0019795107531910693	0.0034782449298171765	0.007720114860026229	9.675734639706367e-07	0.018983892162995803	0.027698972542421724	0.002486397537549904	0.019332809012483628	0.01724279677686787	0.018711387634889543	0.00836863781361183	0.008241415878942998	0.024075978618086847	0.0162994657432118	0.002153342053831987	0.012146829395353309	0.056836617208819946	0.008428025924680603	0.0014343098285595152	0.005451657280790604	0.017801887867822497	0.0010111835659436018	0.0014722096101738634
NUP155	0.011338242933752308	0.026402632376812934	0.006905855534786115	0.017839494509802486	0.013576290897304145	0.008540227524239346	0.001243081724211793	0.005960932460303922	0.005437277064216585	0.016600236388131708	0.02036170687415486	0.02880798247414409	0.002375583162333232	0.021142074969910076	0.0169739126800058	0.015449973942662464	0.018529027379685484	0.011646645175766402	0.012374124821787725	0.01548180968351292	0.008967377669287884	0.016541829251951173	0.021420372144031818	0.007317042616422059	0.023032221022809694	0.020202520898164177	0.012581232830887615	0.010445725714910526	0.01587342059735442	0.010190515613491902	0.006288665007194261	0.009276670495551781	0.006205143210408558	0.01166433081662486	0.018505318121437672	0.012088173523204931	0.016171003159137633
TRIM41	0.01668287956701994	0.01884608186328443	0.02642887487534757	0.007803410253799829	0.006819064014739779	0.00985190965548824	0.0009520030943538677	0.0011586379358753502	0.0073399337917034796	0.011811930367911085	0.014043645112466913	0.008280733625154602	0.010562065376135238	0.018912607977380466	0.020017977615754787	0.009135957532572923	0.014317613205325841	0.006979837761685709	0.017744456166709277	0.016079868173267262	0.010805413701041133	0.02163529751812166	0.013554422785276991	0.01429628784090014	0.010166813676679442	0.011185115865738797	0.006864460986497159	0.017603974070811147	0.010773003965986645	0.014240574205055014	0.029996901465922435	0.02345100214223185	0.008861904306784065	0.024181789117399984	0.010688099798698452	0.0024981603936477547	0.013432871251399307
ANKRD65	0.010935223660876332	0.008943049614006621	0.019841201840492817	0.009436098997306724	0.01414862026640196	0.001564483122861214	0.003710081593634351	0.00934466097021138	0.009545806084989663	0.02530548630135421	0.009266451712948353	0.010352611649919389	0.012480188477534765	0.014131346857819839	0.012879079878569998	0.006344972735113994	0.007242352316211963	0.009084948622307156	0.01796328453240678	0.022201226529772827	0.006405976674342055	0.019585735886909383	0.02194633092625795	0.02773881737581447	0.010500467564783308	0.0038311959993860755	0.015371028195870065	0.012502096328592402	0.010916380854023265	0.018610002374744736	0.043213606202634716	0.014474719968912553	0.004917780552630462	0.0182771455786549	0.014284877939252908	0.006416523519671548	0.007036226261727925
COPS7A	0.027753169938399682	0.015198792967316617	0.0011535029134091346	0.01762588695118455	0.02284995426839046	0.003251519233144708	0.001775471165017444	0.012188070726981935	0.005815459964718557	0.008154328852425403	0.016053620908469023	0.015770404247444993	0.008862380174875353	0.02612293082702347	0.006758596671108274	0.014080969405827573	0.02073567272509144	2.229227148271807e-05	0.011756037217973898	0.013574136315429402	0.013114820604462233	0.00837110869175656	0.00961811606604745	0.018749749664063918	0.028024295111917712	0.011931480721278045	0.01924252340800093	0.03175843716861221	0.015941462385342227	0.003593729573598518	0.015579430866572574	0.00225242121550856	0.00673431914399478	0.017662061558117385	0.02905246651984797	0.02931039801456481	0.03230211436464992
LATS2	0.017278032845851242	0.008415509709414248	0.01646391492660828	0.0010804357159890107	0.01935923163094774	0.009596057017996625	0.002723211636143815	0.013830777506732953	0.011300854855503596	0.023369243489199193	0.01737741586091376	0.019894447329763906	0.013208499486770895	0.02158236207365842	0.014358428710600828	0.016482995194586698	0.013247470558595585	0.012953119837736464	0.012504897198648496	0.01753181319578675	0.015334729167744957	0.013997410240221452	0.012320186949447434	0.007690437955438347	0.011358873726388686	0.01830234825858847	0.01295647240490401	0.00729655148096289	0.015351782125199689	0.012304175147364739	0.016539825528359055	0.012173534660646195	0.029068189055728232	0.02156338391012493	0.017206827214479154	0.010844542097258695	0.011068054776070046
CLMN	0.015050434529213473	0.010798908560295318	0.016993079845112453	0.008168398748343787	0.015825029094025465	0.009480315381132406	0.005970526568746291	0.011721733492826908	0.0022316265780879534	0.001878658592946533	0.017252237177229332	0.010064035892711648	0.010356313906496186	0.022632454961983524	0.011238069053359815	0.014567643890497105	0.009092991197079606	0.011181914353193805	0.013083165950788603	0.012197939240746199	0.01459922117052211	0.009077608593696388	0.012329546812507126	0.018816964810150702	0.014054207384201198	0.016880052603326506	0.013883215881735763	0.0064294788116680286	0.020271640163166578	0.015200528977451389	0.007855391580596489	0.013203883112852149	0.03021531403226642	0.03003277261651054	0.018334291182836204	0.004381372092158329	0.013935478370012097
ATF4	0.005160720346979508	0.013539669388846867	0.014812644898645684	0.016442646364344227	0.014758852506618684	0.013741537437129464	0.00063771371679453	0.010705862274859946	0.006808020209895577	0.00717801120829073	0.016675826567276755	0.015907430518374985	0.009055269991203074	0.02112556014373638	0.01766076398883454	0.01028120184449774	0.012415179507542515	0.018858255324646467	0.018589413196855937	0.018272721439203898	0.018890031104308813	0.00952758509727317	0.01942578125706981	0.015512443591636314	0.013967767672431653	0.02534803545805293	0.01230022623502878	0.017676346285284084	0.013388880181634618	0.009022466309858696	0.015368656632378347	0.006914532735035206	0.017917419895352504	0.020589079462248746	0.01608172821146327	0.009758824925814983	0.01343316049403272
GPR180	0.014458750350397814	0.011566469095783877	0.0160375293515924	0.00721864744240808	0.009670681454664322	0.007067320554117627	0.0011329292581872576	0.005112579726703033	0.008547636956738873	0.012844968543791217	0.024200837883571427	0.02188154703666448	0.010455446283993048	0.008847613219489561	0.006980671133338735	0.007232599645785936	0.01089760375872411	0.0157329606507686	0.0077196795882345515	0.01847959977905747	0.010634454825845996	0.003984726422944197	0.01602819194731468	0.020637521349595192	0.018038850920299526	0.014754126578360336	0.01682534239287707	0.012698584110845085	0.016401536932118477	0.022227996447221326	0.008674337288009953	0.01782640172096473	0.02925188945351155	0.017224341953681718	0.01181140531544252	0.002508588769627445	0.020598582915906993
