	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
TBPL1	0.006644206070450852	0.007643202979072433	0.022271585511014998	0.01178275573794578	0.009784684595296024	0.03634868880535243	0.03514133739121774	0.027111245467392152	0.017278395288298155	0.02701321597721759	0.017501035308369592	0.01280538420382942	0.01528638795015298	0.01789032149342151	0.021446601790165866	0.03203857158528475	0.024475337295612888	0.022960026936962512	0.025224774512467355	0.008482381692856178	0.021955065034083513	0.027336568262856777	0.013187854238375122	0.029662206386341292	0.01470791210862924	0.006393205301152615	0.0040588054865087885	0.0230167685025109
MARCKSL1	0.016199878036843324	0.019346992109102665	0.018194643573627194	0.028514868520114634	0.014908781940671694	0.009818683148357314	0.03352570304134724	0.02768375001231379	0.019188919000743543	0.01720565484288051	0.019257979783544907	0.01657926903929501	0.01708937249971643	0.01529672499254356	0.025563172505611787	0.017024491220374825	0.011068918933780428	0.019987264559522353	0.02036955219166811	0.018479736164704535	0.026976834969679186	0.018854303443178396	0.0032293791412580444	0.017000060106409295	0.011328038904193266	0.01291293028924478	0.009499323036436549	0.0232472992772049
SH2B2	0.02792856383926608	0.014209369474863358	0.03121476212248326	0.026697544223869375	0.01884311540716296	0.01589032187347345	0.016486905766699228	0.025696489182472776	0.009850471233594223	0.01582492841521131	0.017968215102239813	0.01778302937147685	0.01114619164147088	0.01597524632291918	0.015150820808135292	0.017747348331114823	0.012707535388097489	0.01199755372722193	0.02642039610423496	0.018553484409583938	0.020117932732291267	0.01776368193105264	0.008097935764991052	0.02241345053473909	0.019736066536072617	0.023266528785090335	0.02380025290304313	0.015406090768269277
INO80	0.02246728893005206	0.011731922100781878	0.021254403359773178	0.007180547874150806	0.025507114763400097	0.0389940017377638	0.02810738533369164	0.01992884003270401	0.017927150055116064	0.023813195169705627	0.02311637707481107	0.007298797299034368	0.02711574295932301	0.016552596678489	0.024312839273890875	0.035040878840518506	0.017414035863191336	0.017399552202581985	0.024089995874243663	0.016848954795059597	0.02221383382969489	0.025757824234757497	0.02753517581858887	0.030210457727411325	0.020456247911133138	0.019900476599607777	0.017767405186465978	0.024652197208763164
KXD1	0.011433606226283503	0.012717276589805928	0.027746020624911695	0.020120517087198347	0.004225238677090939	0.04146722332290386	0.03376780410433745	0.021209520738486018	0.008950066246821877	0.019288177715873878	0.020648528761251762	0.019945767167700718	0.014649012340759906	0.014400474260397225	0.005701820861385454	0.02747310798797163	0.02062029495560507	0.025278658919646424	0.028359106729955424	0.00904470805131531	0.023466058409844483	0.024183585780992316	0.014948326424490368	0.029069547433591487	0.020503618393326952	0.01890108664534605	0.012312173403770986	0.002611779688116287
DHX38	0.015327208472947811	0.04851484421862575	0.02878307143724898	0.01465928297434643	0.023281439195927296	0.012837134192990705	0.004654332913168421	0.024408626978844765	9.078973278676271e-05	0.01491181216553756	0.03623975774324927	0.018267415783115554	0.009668739917988473	0.014767112559225658	0.013556025159522284	0.013737692726070566	0.0037747647323037935	0.008014716727700797	0.00974807659292848	0.0179106204709511	0.003923931080555881	0.014424909665775162	0.0019298936032915678	0.023340326259027152	0.02049483592262969	0.02242838683699652	0.020047627492442387	0.01837668610124725
FRMD4B	0.02389971168512132	0.005625325226090167	0.01822802762564572	0.009020948569711112	0.016977610475168412	0.027021944094833	0.006428949150843799	0.022927501084799	0.006096168114505279	0.023285944899424333	0.013625020610726367	0.01498018000554407	0.030885902411268193	0.025590812190357932	0.0334043117507206	0.013141636213730141	0.005277693531615405	0.028305416663937415	0.02724423513050669	0.02002264450270563	0.02081427325684123	0.014010823191121126	0.007675466099151233	0.023022548378062085	0.02251806868755225	0.013969357071367736	0.008407051748022847	0.015793826105522688
RPS6KA1	0.011302797163101069	0.03357508767753822	0.02670264043287501	0.01674569852955611	0.015028974567742225	0.026632224691021025	0.021928767752516662	0.014087943273182635	0.00418561087921829	0.021683468360292717	0.029603674345913624	0.016567259308627583	0.014623273305870236	0.020050676739112955	0.008554676650956765	0.01524677543759034	0.00602600916190265	0.01979967577907769	0.01694329989186198	0.012627310181271202	0.025447762353733302	0.0169774424582555	0.00490944189725703	0.01632765733926261	0.020829004482271728	0.019296460570439922	0.027257079146153395	0.024063390981500007
SH3BGRL2	0.00824260515409665	0.038890492274950166	0.03739728223205532	0.009559554912273458	0.015213797903530776	0.0114987549726689	0.026516191253740218	0.015837301730119668	0.0006280759294700443	0.028121028039995593	0.01295245805012953	0.031041879380534723	0.019199856468642064	0.02086364920301625	0.0053636543474158615	0.014226448922522103	0.002985834337663524	0.01814152240088107	0.034550652313296536	0.008481793252397469	0.027609921088501122	0.011218408350741444	0.001905303586346946	0.018655031233526433	0.012175663593122105	0.01761892782227338	0.01958122339250001	0.009721632753903262
KCTD2	0.015448875692291048	0.03286722034619853	0.015019750584261195	0.02742645856585518	0.014925016349690052	0.018410975134466347	0.017139188894670077	0.029850128556341587	0.0031972704817663034	0.010242121485610114	0.03444275361080002	0.021391046359721576	0.010225987804953448	0.01050644474602566	0.028912327001652464	0.028385815875940995	0.0036376393566053896	0.016603627159844966	0.004073645639649167	0.01366940363226407	0.008493052648421786	0.009011138282031287	8.92378587533239e-05	0.010676704233555722	0.017374397954543607	0.007912449867029653	0.013084115605346934	0.013097893837053922
KDM2A	0.02234298957012189	0.008703806713558688	0.03210446648188481	0.015833616886138054	0.025009420511034913	0.02469077570829069	0.03174969946768972	0.02695008681300608	0.0008370994787537807	0.018571236963240336	0.00843586649723867	0.022387348306662502	0.009589069415457873	0.011269618133498837	0.02962162877317449	0.008650754386448661	0.023291247861172246	0.01879373679787927	0.0207938808889669	0.023370078432778357	0.015769580858493178	0.018691111389076566	0.015873016918998957	0.028049089839710703	0.011237496867618357	0.007865155072983071	0.005845083612363295	0.023959546117793537
EFNB3	0.02088017925893655	0.020068889140433428	0.023575064044470923	0.012515190951499595	0.017628783664796015	0.03510153045002161	0.024087474374486932	0.027252529260042273	0.02210914386995322	0.022091627166150977	0.020677952960825793	0.023091943716145914	0.014672357612481304	0.031228060538402175	0.018725500035604827	0.026006990463328553	0.02456239559499334	0.012410533572375494	0.030337937126776567	0.017449740140057967	0.029780401130303183	0.011700230452013792	0.010855542723464227	0.03702785395335109	0.019361365805969376	0.02308237166040358	0.018036397137911143	0.011952811234257815
GPC6	0.018367203921243344	0.0400861536982096	0.015746596208827953	0.0007578593157284551	0.019609734837982184	0.005094874690758635	0.019679965277167383	0.022790158880440187	0.00744679008241194	0.02320272307030896	0.041669632332434585	0.01985371646808677	0.012412673233501885	0.018016927117018803	0.016736380802885174	0.014171884891456675	0.0012129256181800836	0.010679870801097651	0.014163409628916821	0.0007196386471635401	0.01054473362744697	0.011312190133864301	0.009468597113923177	0.02545609941564801	0.020204369730293704	0.020569411741857398	0.026133147263594527	0.026958233680442922
SRGAP3	0.02414440853169659	0.013230567534438298	0.014934122115367422	0.021453061949088914	0.013014847422491031	0.034831134554261234	0.021572235156437455	0.014045671326052217	0.005181252752575009	0.029093279990117064	0.012704720160713322	0.020247120947865276	0.024264936065601497	0.026184914623433784	0.021980785419375613	0.0062585116765213646	0.007393220698448361	0.017576135868461084	0.021062018156786294	0.01553856041276583	0.020125364834117563	0.014386005515101125	0.012194860684168828	0.03352362387568186	0.014637868844501432	0.021657672456052005	0.004605202556342498	0.013546161731194533
RNF24	0.007469325105827461	0.03301720994300592	0.014472344268621555	0.02051290263544094	0.01737054653512839	0.016978518115371665	0.0006661427004177065	0.01624099377792087	0.0036193689654274155	0.013051495226778674	0.03669274696960842	0.014858523977672667	0.025705497185806735	0.009873791400966581	0.02253713934680635	0.020067464338723445	0.0019594858951506996	0.018764559606316164	0.004899607864593846	0.006929127610536388	0.010494303141660142	0.019041818380110535	0.004516225716096985	0.011047825069481416	0.020651216759620866	0.021264282954312416	0.026210517108186275	0.03432491006678924
PAM	0.02005409696769099	0.02033606124940011	0.022628511802208925	0.018331284220429123	0.025406753850142207	6.286713145824336e-05	0.013445798897622083	0.030370393858242115	0.020198062425120778	0.005143662963539624	0.02452215869267879	0.017141167393503614	0.016229820584595073	0.01913271951221136	0.052864414362727756	0.030388547410303276	0.012798110434711059	0.020445257727884098	0.015360949472963865	0.022295992594248512	0.011569835777649569	0.030946969020417728	0.0043683470842591	0.01953917267715488	0.024351435494775083	0.0028888663825694955	0.019406484119942925	0.01783282100654402
ANKRD20A5P	0.02873340371143946	0.036529929929091154	0.038033612295310305	0.020474441494043056	0.014637400273175515	0.01530433652553657	0.03256221590112035	0.02040112350454433	0.020616909431684396	0.02181762384246306	0.019538689444096313	0.0029541811366432464	0.012432683759411369	0.008492018680942836	0.010073544698124194	0.023469412846027982	0.014049313992890146	0.024202551896210324	0.019876248249350404	0.01927096246857092	0.01788223865596232	0.016050814448537915	0.0019338604848262678	0.009520324618104418	0.026665264187154043	0.02513405758478447	0.026032673844442685	0.021998334880687146
ASIC4	0.019117124567565216	0.025929041488368085	0.031606459086178394	0.03029692088477708	0.023499906660005457	0.018349230738688684	0.004923658550869778	0.011093338492625527	0.007902735462826327	0.020147455316682557	0.010301763090725276	0.028402478029392834	0.03454000498519524	0.01825086813801194	0.022316605396516073	0.021740626091076756	0.0227967733818176	0.019416281587845186	0.019429848511747123	0.024291165853868934	0.015374328694248159	0.026597702992885844	0.002148711538405795	0.02530670513580174	0.019964656173407213	0.007238792586615908	0.02941068082155672	0.012406912410272131
TAF7	0.0211738430563702	0.012749412734267565	0.02158140442715563	0.009268656925035978	0.014323853456313491	0.03947065069242946	0.008918127099219738	0.0157317666552596	0.006579231089230012	0.022067328224417006	0.017647873523206608	0.013807221535805474	0.02605817532683117	0.014674019178240209	0.02848397597327574	0.036782875374110305	0.024758298366136387	0.01240129744443279	0.020402049248289925	0.0183534036818875	0.012403384854837201	0.024986423415860916	0.012962170124705944	0.02911357241412961	0.01157025097508498	0.016279430512976766	0.018939155411855382	0.01085161800443737
PXK	0.03141461273389606	0.02496219810174324	0.03994236412110412	0.014477765703593498	0.01638692971065334	0.028979698015626616	0.009732820777000935	0.016487093944297437	0.002439675487246581	0.023025230067481358	0.005354282976421978	0.01957448620574456	0.026110730525968576	0.020704979558536504	0.019019999587938877	0.010497761429687086	0.020641089719529115	0.008497694928490025	0.029743356548028125	0.016175417939222277	0.025565124712666486	0.021776208255116447	0.006602710461893747	0.022617404519119293	0.006026096305202931	0.012203650535031068	0.0298554736023284	0.013479112152020028
GTF2H2	0.01639040069897897	0.007882394298064515	0.015635199928461904	0.01419351294664506	0.021405975593586236	0.03240229764332583	0.005151113953311668	0.01683755496783735	0.002193175773953319	0.024736926499296392	0.012297695022627913	0.02448015622503988	0.029042515985001207	0.017253376676809686	0.03143048722727531	0.017664834979799333	0.028300637159923158	0.012155841231029437	0.020505421507035774	0.01757121533559275	0.022032315202845182	0.017627215458367585	0.0038415949421493492	0.03258556668314077	0.0170327038988431	0.019836829328804425	0.014225414080238525	0.01777151964461657
NOSTRIN	0.013073384316317568	0.04558829480357988	0.00666897528455429	0.010520148249968914	0.01843807493759461	0.011452539082535356	0.01934550312363942	0.02299153996464583	0.007510815249016944	0.017927494313742177	0.030547585781643374	0.029618965062869505	0.017717312701353204	0.014161988576653822	0.017097856605050667	0.015001913818209802	0.0014976110211321685	0.011914405997561791	0.01430335835406783	0.009575703650105745	0.016529487572391952	0.013101462605832054	0.006932352950224238	0.023033494332094367	0.01730571100692205	0.029094593848793426	0.009574414440120523	0.027870193409349358
